duration,terrain,area,rainfall
5.0,R,600.0,621.2933936541302
5.0,R,700.0,602.3703162102834
5.0,R,800.0,584.8322814428924
5.0,R,900.0,570.5244558180627
5.0,R,1000.0,558.5238668271159
6.0,R,1e-05,1450.0
6.0,R,1.0,1242.1580425190534
6.0,R,2.0,1213.5120277705846
6.0,R,3.0,1193.6488496905258
6.0,R,4.0,1178.4071518394967
6.0,R,5.0,1165.4761941029822
6.0,R,6.0,1153.9318361454266
6.0,R,7.0,1144.6954933730055
6.0,R,8.0,1135.9219993196139
6.0,R,9.0,1127.1496730930994
6.0,R,10.0,1119.7620002674153
6.0,R,20.0,1066.6671405674285
6.0,R,30.0,1030.6595344602017
6.0,R,40.0,1002.5012820708109
6.0,R,50.0,979.8832003872446
6.0,R,60.0,960.0355933322163
6.0,R,70.0,941.5734182292698
6.0,R,80.0,926.3418415445102
6.0,R,90.0,912.0340159196805
6.0,R,100.0,898.6495520791549
6.0,R,200.0,810.4965295231713
6.0,R,300.0,757.8820359453728
6.0,R,400.0,720.037048884556
6.0,R,500.0,689.5770097200432
6.0,R,600.0,664.6548056076
6.0,R,700.0,642.9639784645954
6.0,R,800.0,624.0420688476256
6.0,R,900.0,604.6600354410069
6.0,R,1000.0,587.5852386682711
