area,zone,duration,depth
65.0,GSAM_IS,24.0,459.608
65.0,GSAM_IS,36.0,490.515
65.0,GSAM_IS,48.0,510.103
65.0,GSAM_IS,72.0,552.629
65.0,GSAM_IS,96.0,579.064
70.0,GSAM_CA,24.0,548.214
70.0,GSAM_CA,36.0,677.477
70.0,GSAM_CA,48.0,797.262
70.0,GSAM_CA,72.0,1010.246
70.0,GSAM_CA,96.0,1082.593
70.0,GSAM_CS,24.0,813.306
70.0,GSAM_CS,36.0,906.977
70.0,GSAM_CS,48.0,960.029
70.0,GSAM_CS,72.0,1005.785
70.0,GSAM_CS,96.0,1041.866
70.0,GSAM_IA,24.0,652.539
70.0,GSAM_IA,36.0,748.625
70.0,GSAM_IA,48.0,800.846
70.0,GSAM_IA,72.0,847.464
70.0,GSAM_IA,96.0,861.88
70.0,GSAM_IS,24.0,458.787
70.0,GSAM_IS,36.0,489.578
70.0,GSAM_IS,48.0,508.973
70.0,GSAM_IS,72.0,551.534
70.0,GSAM_IS,96.0,578.147
75.0,GSAM_CA,24.0,547.034
75.0,GSAM_CA,36.0,676.227
75.0,GSAM_CA,48.0,795.862
75.0,GSAM_CA,72.0,1008.632
75.0,GSAM_CA,96.0,1080.94
75.0,GSAM_CS,24.0,810.635
75.0,GSAM_CS,36.0,903.759
75.0,GSAM_CS,48.0,956.812
75.0,GSAM_CS,72.0,1002.567
75.0,GSAM_CS,96.0,1038.851
75.0,GSAM_IA,24.0,651.425
75.0,GSAM_IA,36.0,747.152
75.0,GSAM_IA,48.0,799.134
75.0,GSAM_IA,72.0,845.632
75.0,GSAM_IA,96.0,859.968
75.0,GSAM_IS,24.0,458.021
75.0,GSAM_IS,36.0,488.701
75.0,GSAM_IS,48.0,507.903
75.0,GSAM_IS,72.0,550.513
75.0,GSAM_IS,96.0,577.287
80.0,GSAM_CA,24.0,545.92
80.0,GSAM_CA,36.0,675.056
80.0,GSAM_CA,48.0,794.551
80.0,GSAM_CA,72.0,1007.121
80.0,GSAM_CA,96.0,1079.391
80.0,GSAM_CS,24.0,808.115
80.0,GSAM_CS,36.0,900.72
80.0,GSAM_CS,48.0,953.759
80.0,GSAM_CS,72.0,999.51
80.0,GSAM_CS,96.0,1036.007
80.0,GSAM_IA,24.0,650.383
80.0,GSAM_IA,36.0,745.776
80.0,GSAM_IA,48.0,797.532
80.0,GSAM_IA,72.0,843.918
80.0,GSAM_IA,96.0,858.179
80.0,GSAM_IS,24.0,457.305
80.0,GSAM_IS,36.0,487.877
80.0,GSAM_IS,48.0,506.886
80.0,GSAM_IS,72.0,549.555
80.0,GSAM_IS,96.0,576.478
85.0,GSAM_CA,24.0,544.866
85.0,GSAM_CA,36.0,673.956
85.0,GSAM_CA,48.0,793.317
85.0,GSAM_CA,72.0,1005.699
85.0,GSAM_CA,96.0,1077.931
85.0,GSAM_CS,24.0,805.729
85.0,GSAM_CS,36.0,897.841
85.0,GSAM_CS,48.0,950.85
85.0,GSAM_CS,72.0,996.596
85.0,GSAM_CS,96.0,1033.315
85.0,GSAM_IA,24.0,649.403
